"seed";"dispersal";"divergence_threshold";"competition"
"config_M1_197";97097;0.842105263157895;75;0.905263157894737
"config_M1_198";40843;0.894736842105263;75;0.905263157894737
"config_M1_199";11575;0.947368421052632;75;0.905263157894737
"config_M1_200";87851;1;75;0.905263157894737
"config_M1_201";84751;0;55;0.910526315789474
"config_M1_202";93326;0.0526315789473684;55;0.910526315789474
"config_M1_203";10464;0.105263157894737;55;0.910526315789474
"config_M1_204";16131;0.157894736842105;55;0.910526315789474
"config_M1_205";4842;0.210526315789474;55;0.910526315789474
"config_M1_206";55126;0.263157894736842;55;0.910526315789474
"config_M1_207";81769;0.315789473684211;55;0.910526315789474
"config_M1_208";51706;0.368421052631579;55;0.910526315789474
"config_M1_209";23995;0.421052631578947;55;0.910526315789474
"config_M1_210";45548;0.473684210526316;55;0.910526315789474
"config_M1_211";82242;0.526315789473684;55;0.910526315789474
"config_M1_212";8202;0.578947368421053;55;0.910526315789474
"config_M1_213";33689;0.631578947368421;55;0.910526315789474
"config_M1_214";1071;0.684210526315789;55;0.910526315789474
"config_M1_215";14878;0.736842105263158;55;0.910526315789474
"config_M1_216";75849;0.789473684210526;55;0.910526315789474
"config_M1_217";49998;0.842105263157895;55;0.910526315789474
"config_M1_218";56689;0.894736842105263;55;0.910526315789474
"config_M1_219";72321;0.947368421052632;55;0.910526315789474
"config_M1_220";63193;1;55;0.910526315789474
"config_M1_221";98259;0;60;0.910526315789474
"config_M1_222";6393;0.0526315789473684;60;0.910526315789474
"config_M1_223";89617;0.105263157894737;60;0.910526315789474
"config_M1_224";48876;0.157894736842105;60;0.910526315789474
"config_M1_225";13990;0.210526315789474;60;0.910526315789474
"config_M1_226";43327;0.263157894736842;60;0.910526315789474
"config_M1_227";40918;0.315789473684211;60;0.910526315789474
"config_M1_228";62406;0.368421052631579;60;0.910526315789474
"config_M1_229";95278;0.421052631578947;60;0.910526315789474
"config_M1_230";63021;0.473684210526316;60;0.910526315789474
"config_M1_231";46246;0.526315789473684;60;0.910526315789474
"config_M1_232";66661;0.578947368421053;60;0.910526315789474
"config_M1_233";88081;0.631578947368421;60;0.910526315789474
"config_M1_234";49285;0.684210526315789;60;0.910526315789474
"config_M1_235";8943;0.736842105263158;60;0.910526315789474
"config_M1_236";69279;0.789473684210526;60;0.910526315789474
"config_M1_237";27008;0.842105263157895;60;0.910526315789474
"config_M1_238";20369;0.894736842105263;60;0.910526315789474
"config_M1_239";96364;0.947368421052632;60;0.910526315789474
"config_M1_240";64658;1;60;0.910526315789474
"config_M1_241";99210;0;65;0.910526315789474
"config_M1_242";75676;0.0526315789473684;65;0.910526315789474
"config_M1_243";99738;0.105263157894737;65;0.910526315789474
"config_M1_244";88358;0.157894736842105;65;0.910526315789474
"config_M1_245";16979;0.210526315789474;65;0.910526315789474
"config_M1_246";43424;0.263157894736842;65;0.910526315789474
"config_M1_247";59375;0.315789473684211;65;0.910526315789474
"config_M1_248";11052;0.368421052631579;65;0.910526315789474
"config_M1_249";50525;0.421052631578947;65;0.910526315789474
"config_M1_250";52366;0.473684210526316;65;0.910526315789474
"config_M1_251";41125;0.526315789473684;65;0.910526315789474
"config_M1_252";80709;0.578947368421053;65;0.910526315789474
"config_M1_253";28082;0.631578947368421;65;0.910526315789474
"config_M1_254";46896;0.684210526315789;65;0.910526315789474
"config_M1_255";83299;0.736842105263158;65;0.910526315789474
"config_M1_256";79675;0.789473684210526;65;0.910526315789474
"config_M1_257";39167;0.842105263157895;65;0.910526315789474
"config_M1_258";53837;0.894736842105263;65;0.910526315789474
"config_M1_259";8245;0.947368421052632;65;0.910526315789474
"config_M1_260";68998;1;65;0.910526315789474
